TRD_DD,CVSRTSELL_TRDVOL,UPTICKRULE_APPL_TRDVOL,UPTICKRULE_EXCPT_TRDVOL,STR_CONST_VAL1,CVSRTSELL_TRDVAL,UPTICKRULE_APPL_TRDVAL,UPTICKRULE_EXCPT_TRDVAL,STR_CONST_VAL2
2026/03/20,"871,381","341,716","529,665",-,"174,297,078,650","68,424,120,950","105,872,957,700",-
2026/03/19,"1,574,488","809,824","764,664",-,"316,893,032,300","163,109,939,200","153,783,093,100",-
2026/03/18,"888,510","550,958","337,552","201,976","182,794,142,200","112,907,987,000","69,886,155,200","42,111,996,000"
2026/03/17,"988,960","639,044","349,916","190,124","193,878,982,000","125,150,821,750","68,728,160,250","36,865,043,600"
2026/03/16,"777,463","135,634","641,829","205,335","145,622,414,450","25,300,601,050","120,321,813,400","38,746,714,500"
2026/03/13,"1,547,052","515,520","1,031,532","205,335","283,202,360,750","94,358,766,550","188,843,594,200","37,678,972,500"
2026/03/12,"853,869","369,684","484,185","192,834","160,084,600,200","69,326,395,100","90,758,205,100","36,233,508,600"
2026/03/11,"1,003,940","433,319","570,621","218,839","192,629,515,200","83,279,507,250","109,350,007,950","41,579,410,000"
2026/03/10,"1,659,575","1,150,521","509,054","1,100,449","311,577,899,900","216,381,486,500","95,196,413,400","206,774,367,100"
2026/03/09,"2,233,430","552,153","1,681,277","1,167,972","382,202,238,450","94,837,128,600","287,365,109,850","202,643,142,000"
2026/03/06,"640,227","477,473","162,754","1,173,338","119,711,891,200","89,284,961,150","30,426,930,050","220,822,211,600"
2026/03/05,"1,922,650","1,572,150","350,500","1,935,414","371,399,799,900","303,500,056,550","67,899,743,350","370,825,322,400"
2026/03/04,"2,564,586","1,994,279","570,307","588,207","468,793,205,500","365,654,634,550","103,138,570,950","101,289,245,400"
2026/03/03,"1,138,390","1,072,592","65,798","753,222","235,742,790,600","222,348,189,450","13,394,601,150","146,953,612,200"
2026/02/27,"588,952","568,587","20,365","802,632","128,087,874,795","123,692,667,295","4,395,207,500","173,769,828,000"
2026/02/26,"1,443,985","1,335,850","108,135","805,780","310,141,776,500","287,346,159,750","22,795,616,750","175,660,040,000"
2026/02/25,"524,788","366,507","158,281","885,203","106,655,543,000","74,527,276,250","32,128,266,750","180,138,810,500"
2026/02/24,"205,703","177,786","27,917","952,549","40,668,800,050","35,154,749,050","5,514,051,000","190,509,800,000"
2026/02/23,"758,644","512,558","246,086","953,061","147,293,823,950","99,320,874,150","47,972,949,800","183,940,773,000"
2026/02/20,"234,666","160,027","74,639","941,773","44,511,499,650","30,340,859,750","14,170,639,900","179,031,047,300"
2026/02/19,"763,648","574,031","189,617","959,873","144,413,634,450","108,546,747,750","35,866,886,700","182,375,870,000"
2026/02/13,"367,366","255,479","111,887","955,600","66,725,412,250","46,373,508,150","20,351,904,100","173,154,720,000"
2026/02/12,"196,040","138,636","57,404","986,928","34,558,860,150","24,432,707,750","10,126,152,400","176,265,340,800"
2026/02/11,"215,421","202,881","12,540","1,021,329","35,911,979,400","33,823,931,600","2,088,047,800","171,379,006,200"
2026/02/10,"428,435","327,464","100,971","1,087,243","71,404,397,700","54,551,109,500","16,853,288,200","180,264,889,400"
2026/02/09,"311,603","195,000","116,603","1,189,180","52,127,781,550","32,564,378,650","19,563,402,900","197,879,552,000"
2026/02/06,"409,791","245,313","164,478","1,179,002","63,597,456,550","38,265,446,900","25,332,009,650","186,989,717,200"
2026/02/05,"531,750","313,579","218,171","1,209,691","85,360,123,450","50,414,716,100","34,945,407,350","192,703,776,300"
2026/02/04,"155,227","143,316","11,911","1,229,104","25,798,955,750","23,828,296,750","1,970,659,000","207,841,486,400"
2026/02/03,"173,990","147,966","26,024","1,102,880","28,487,953,850","24,283,754,350","4,204,199,500","184,732,400,000"
2026/02/02,"389,764","217,461","172,303","937,044","60,543,893,650","34,030,972,250","26,512,921,400","140,931,417,600"
2026/01/30,"1,334,693","1,246,738","87,955","764,772","217,200,304,450","202,813,742,300","14,386,562,150","122,745,906,000"
2026/01/29,"713,040","614,268","98,772","771,202","115,298,933,050","98,976,972,150","16,321,960,900","123,932,161,400"
2026/01/28,"518,155","336,661","181,494","753,805","83,948,278,550","54,522,578,250","29,425,700,300","122,417,932,000"
